Team
Villanova
Mt St Marys
Wisconsin
VA Tech
Virginia
NC-Wilmgton
Florida
E Tenn St
S Methodist
USC
Baylor
New Mexico
S Carolina
Marquette
Duke
Troy
Gonzaga
S Dakota St
Northwestern
Vanderbilt
Notre Dame
Princeton
W Virginia
Bucknell
Maryland
Xavier
Florida St
Fla Gulf Cst
St Marys
VCU
Arizona
North Dakota
Kansas
UC Davis
Miami (FL)
Michigan St
Iowa State
UNLV
Purdue
Vermont
Creighton
Rhode Island
Oregon
Iona
Michigan
Oklahoma St
Louisville
Jacksonville
N Carolina
TX Southern
Arkansas
Seton Hall
Minnesota
Middle Tenn
Butler
Winthrop
Cincinnati
Kansas St
UCLA
Kent State
Dayton
Wichita St
Kentucky
N Kentucky
